time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1695389729139853000,4.50085302734375,-0.14701934158802032,-0.14153914153575897,0.55051189661026,0.8094990849494934,-0.18791623413562775,-1.2023712396621704,0.2302301526069641
1695389729158156000,4.519156005859375,-0.14669474959373474,-0.142215758562088,0.5491289496421814,0.8103781938552856,-0.19225330650806427,-1.199144959449768,0.2265390157699585
1695389729176455700,4.53745556640625,-0.14617976546287537,-0.14346669614315033,0.5467109680175781,0.8118842840194702,-0.19981995224952698,-1.193532109260559,0.22028182446956635
1695389729194749000,4.5557490234375,-0.14629985392093658,-0.1449328362941742,0.5439913272857666,0.8134274482727051,-0.20627135038375854,-1.187407374382019,0.21641848981380463
1695389729213043500,4.57404345703125,-0.14615416526794434,-0.1471845805644989,0.5385216474533081,0.8166824579238892,-0.2168695330619812,-1.1748335361480713,0.2094607651233673
1695389729231336000,4.5923359375,-0.146478071808815,-0.14924530684947968,0.5351250171661377,0.8184810876846313,-0.22485685348510742,-1.1673201322555542,0.2053256332874298
1695389729249624800,4.610624755859375,-0.14705196022987366,-0.15112726390361786,0.5329421758651733,0.8194565176963806,-0.23123261332511902,-1.1627378463745117,0.20278702676296234
1695389729267916800,4.628916748046875,-0.14751671254634857,-0.1527913212776184,0.5306508541107178,0.8205506205558777,-0.2368905395269394,-1.1578197479248047,0.2005053162574768
1695389729286213000,4.647213134765625,-0.14773157238960266,-0.15391935408115387,0.5257884860038757,0.8234262466430664,-0.24074453115463257,-1.1466091871261597,0.199171245098114
1695389729304506400,4.66550634765625,-0.1467944085597992,-0.1562211811542511,0.5174590349197388,0.8284216523170471,-0.2517560124397278,-1.127198576927185,0.19114498794078827
1695389729322797800,4.6837978515625,-0.14335282146930695,-0.16119319200515747,0.5070391893386841,0.8344927430152893,-0.2776586711406708,-1.1027603149414062,0.1688019186258316
1695389729341092600,4.702092529296875,-0.13884514570236206,-0.16700176894664764,0.4958738088607788,0.8407981991767883,-0.30639076232910156,-1.0763559341430664,0.14348933100700378
1695389729359391000,4.720390869140625,-0.13572615385055542,-0.1793271154165268,0.48242416977882385,0.8465737700462341,-0.35193029046058655,-1.0461359024047852,0.11359763145446777
1695389729377685800,4.738685791015625,-0.13498152792453766,-0.1967211365699768,0.4680904746055603,0.8508655428886414,-0.40629690885543823,-1.0153621435165405,0.08646197617053986
1695389729395979300,4.756979248046875,-0.1380760371685028,-0.21624353528022766,0.45168766379356384,0.8544893860816956,-0.45656731724739075,-0.9820557832717896,0.07321309298276901
1695389729414270700,4.775270751953125,-0.14441607892513275,-0.22640551626682281,0.4341030716896057,0.8599064350128174,-0.4693129062652588,-0.9475180506706238,0.08886448293924332
1695389729432564000,4.79356396484375,-0.1574098765850067,-0.22832435369491577,0.41421064734458923,0.8669024109840393,-0.4478472173213959,-0.9108765125274658,0.13707149028778076
1695389729450856200,4.811856201171875,-0.17180392146110535,-0.22841474413871765,0.39059939980506897,0.8750669360160828,-0.4225868880748749,-0.8665292859077454,0.1899387538433075
1695389729469144800,4.830144775390625,-0.19109711050987244,-0.2209678292274475,0.35842278599739075,0.8866726756095886,-0.37609097361564636,-0.8038887977600098,0.26311811804771423
1695389729487439000,4.848439208984375,-0.2459251582622528,-0.19909147918224335,0.32011711597442627,0.892977237701416,-0.2700285315513611,-0.7337210178375244,0.43317392468452454
1695389729505734400,4.866734375,-0.34592917561531067,-0.1556287556886673,0.2689889073371887,0.8853009343147278,-0.11041776835918427,-0.623580276966095,0.709389328956604
1695389729524028200,4.885028076171875,-0.4703979790210724,-0.09287363290786743,0.21142533421516418,0.8517038822174072,0.045534685254096985,-0.463988721370697,1.019977331161499
1695389729542319000,4.903319091796875,-0.583267331123352,-0.04556473717093468,0.18066854774951935,0.7906213402748108,0.14796748757362366,-0.345676988363266,1.2970857620239258
1695389729560608800,4.92160888671875,-0.6693187952041626,-0.01646871492266655,0.17210356891155243,0.7225797772407532,0.21628282964229584,-0.27418527007102966,1.5242562294006348
1695389729578901800,4.93990185546875,-0.7129091620445251,-0.01343731302767992,0.20797783136367798,0.6695709824562073,0.2960774004459381,-0.3022521436214447,1.6788854598999023
1695389729597195000,4.958195068359375,-0.7160784602165222,-0.005863585509359837,0.2827537953853607,0.6381595730781555,0.44194069504737854,-0.37823590636253357,1.771685004234314
1695389729615489800,4.97648974609375,-0.7236881256103516,0.0069737983867526054,0.35307833552360535,0.5929272174835205,0.6052553653717041,-0.42092597484588623,1.901977777481079
1695389729633788400,4.994788330078125,-0.7274482846260071,0.019610177725553513,0.4032931923866272,0.5547875165939331,0.7344218492507935,-0.43229222297668457,2.00702166557312
1695389729652079600,5.01307958984375,-0.7227599620819092,0.04338761419057846,0.41938516497612,0.5475872159004211,0.7925459146499634,-0.40779078006744385,2.0174524784088135
1695389729670365700,5.03136572265625,-0.7152200937271118,0.07329978793859482,0.41447317600250244,0.5579422116279602,0.8073546290397644,-0.3657536506652832,1.9742813110351562
1695389729688656400,5.049656494140625,-0.6931331157684326,0.12288039177656174,0.36863619089126587,0.607103168964386,0.7575860023498535,-0.28093641996383667,1.8153727054595947
1695389729706928000,5.06792822265625,-0.6616004705429077,0.2118028700351715,0.28265446424484253,0.6614611148834229,0.7169604897499084,-0.09380965679883957,1.6061766147613525
1695389729725198000,5.086197998046875,-0.645401656627655,0.24019630253314972,0.11033765226602554,0.7166506052017212,0.514858603477478,0.15248937904834747,1.4260531663894653
1695389729743469600,5.104469482421875,-0.6242442727088928,0.266876757144928,-0.005288245156407356,0.7342123985290527,0.42228367924690247,0.3479357361793518,1.333945631980896
1695389729761726000,5.122725830078125,-0.6072244644165039,0.2845589220523834,-0.09890858829021454,0.735201895236969,0.3494890630245209,0.5132577419281006,1.2881150245666504
1695389729779986000,5.14098583984375,-0.600307285785675,0.3029134273529053,-0.14908502995967865,0.7250160574913025,0.32512253522872925,0.6185572743415833,1.278438925743103
1695389729798253600,5.159253662109375,-0.6012420654296875,0.3317147493362427,-0.18510493636131287,0.7030004262924194,0.33016636967658997,0.7196738123893738,1.2898787260055542
1695389729816517600,5.177517578125,-0.5963101983070374,0.3651830852031708,-0.23110032081604004,0.6764970421791077,0.3355535864830017,0.8453481793403625,1.2928978204727173
1695389729834781400,5.195781494140625,-0.5887125134468079,0.39790940284729004,-0.2555132806301117,0.655590295791626,0.3801608681678772,0.9332061409950256,1.2701817750930786
1695389729853063400,5.2140634765625,-0.5951331257820129,0.438304603099823,-0.230726957321167,0.6328275799751282,0.5028377771377563,0.9505236148834229,1.2465900182724
1695389729871356400,5.2323564453125,-0.604444146156311,0.4803691804409027,-0.19471903145313263,0.6049604415893555,0.6418671011924744,0.9549888372421265,1.2292616367340088
1695389729889648400,5.2506484375,-0.6285222172737122,0.516197919845581,-0.1273142546415329,0.5677064657211304,0.775402843952179,0.9164368510246277,1.2748643159866333
1695389729907929300,5.268929443359375,-0.6712409257888794,0.5402664542198181,-0.007042749784886837,0.5074427723884583,0.9132121205329895,0.8219070434570312,1.4252057075500488
1695389729926209000,5.287208984375,-0.714598536491394,0.5322673916816711,0.15533916652202606,0.4265093207359314,1.0529767274856567,0.6792476177215576,1.660322666168213
1695389729944496600,5.30549658203125,-0.7446240782737732,0.49307650327682495,0.28401145339012146,0.34892427921295166,1.1401093006134033,0.5658295154571533,1.8966869115829468
1695389729962780700,5.32378076171875,-0.7425477504730225,0.4791047275066376,0.33653342723846436,0.32531043887138367,1.2011638879776,0.5150295495986938,1.9588021039962769
1695389729981069000,5.342069091796875,-0.7027846574783325,0.5173823237419128,0.330263614654541,0.3596321642398834,1.284195065498352,0.5117111206054688,1.809268593788147
1695389729999366100,5.3603662109375,-0.6337099075317383,0.5790174603462219,0.30135685205459595,0.41513195633888245,1.4010663032531738,0.5048229694366455,1.5534387826919556
1695389730017664300,5.378664306640625,-0.5189115405082703,0.668161153793335,0.2309194952249527,0.48059093952178955,1.5702590942382812,0.490965336561203,1.1567260026931763
1695389730035960000,5.3969599609375,-0.4340817928314209,0.6783812642097473,0.0998716950416565,0.5842923521995544,1.5030747652053833,0.4918273091316223,0.8171430826187134
